,Unnamed: 0,Region,Country,City,Time,Geo,Language1,Language2,Language3,Text
39658,124671,africa_sub,ao,soyo,2018-11-16,kqbv17mnspz1g8n,swa,lin,lin,kiekiekie balakisi bizaleli pe bakomi bilelalela yango félix aza na niongo na bino botika muana bato avanda kimia
40524,127746,africa_sub,ao,soyo,2018-11-19,kqbv17mnspz1g8n,fra,fra,lin,le candidat du peuple congolais que vive l alternance janvier félix antoine thisekedi président de la républ
40700,128926,africa_sub,ao,luanda,2017-07-04,,fra,fra,lin,ali bongo ondimba échange avec josefa sacko aminata j mohammed et georges rebelo pinto chikoti
40709,128990,africa_sub,ao,luanda,2017-07-04,,eng,lin,lin,mawa eza vraiment na motema na nga mon boss gaby les petrolieur
40710,129000,africa_sub,ao,luanda,2017-07-04,,fra,lin,lin,rip boss gaby le pétrolier papa moko malamu atiki biso paix a ton âme le pétrolier luanda en deuil mort
40879,131410,africa_sub,ao,luanda,2017-07-06,,swa,lin,lin,tongo etani ngaï na kati ya bwale nzoka nde nionso wana ezalaki se ndoto choeurs meu amor eza ndoto ngaï naleki yo meu amor
40912,131822,africa_sub,ao,luanda,2017-07-06,,swa,lin,lin,yo nde esengo ya ba oyo ba bwakama papa kanisa bana ya goma nord kivu
41268,137222,africa_sub,ao,luanda,2017-07-11,,swa,lin,lin,debaucher na ndima penza que mp eza makasi bo suki toi car
41502,140322,africa_sub,ao,luanda,2017-07-14,,fra,lin,lin,heee belastone oya ya biso yang oyo esali trois ans c est depuis le juillet pleins de bonnes lá ou
41535,140917,africa_sub,ao,luanda,2017-07-15,,fra,fra,lin,pour quoi tout ça á kinshasa republique democratique du congo
41825,144624,africa_sub,ao,luanda,2017-07-18,,swa,lin,lin,na tia lolendo nako tia lolendo ya nini nini naza nayango euta epai nayo te
42318,150159,africa_sub,ao,luanda,2017-07-23,,swa,lin,lin,yango yo oza zoba to nyama po nazo comprendre yo te
42734,152269,africa_sub,ao,luanda,2017-07-24,,fra,fra,lin,coup de pocha team bomaye de youss c bon de valoriser la culture et la colo de ts le bled en lingala toza bomoko na mfumu kimbangu
42855,153718,africa_sub,ao,luanda,2017-07-25,,fra,lin,lin,eza mawa soki tozoloba salaire et taux nul part qu en rdcongo
42992,155596,africa_sub,ao,luanda,2017-07-26,,fra,fra,lin,coup de pocha team bomaye de youss c bon de valoriser la culture et la colo de ts le bled en lingala toza bomoko na mf
43516,161091,africa_sub,ao,luanda,2017-07-31,,fra,lin,lin,je veux que les congolais ne se laissent pas hiberner sinon notre lutte sera sans résultat ya mbala oyo ekoki
43702,162999,africa_sub,ao,luanda,2017-08-02,,swa,lin,lin,na tango ya likambo ba talelaka ami ba susus ba parents relations oza na ngo cas na nga eza différant awa na
45389,182393,africa_sub,ao,luanda,2017-09-01,,swa,lin,lin,motoai motote nzambendemoto na yango mingi mingi nzambe kk nde
45618,185703,africa_sub,ao,luanda,2017-09-04,,swa,lin,lin,muasi ya kitoko alukaka mobali ya mbongo mingi pona kitoko na ye mais muasi ya malamu alukaka mobali oyo
46029,190457,africa_sub,ao,luanda,2017-09-08,,fra,lin,lin,merci seigneur pour tout rien de grave jusque là soki yo te nzambe mais elingaki ezala grave
46258,193228,africa_sub,ao,luanda,2017-09-10,,swa,lin,lin,bolingo nzela mulayi batombolaka n ango musapi te eeeeeeeeeeeeeeh
47781,212002,africa_sub,ao,luanda,2017-09-28,,fra,lin,lin,musala nde liboso studio f m production toujours na préparation de single yo nde motema na nga
48666,223287,africa_sub,ao,luanda,2017-10-08,,fra,lin,lin,vieux toussaint boyebisa soki aye retard étali ye tango bino bozalaka bâ ministre azalaki wapi bo pekisa ye
55701,250870,africa_sub,ao,luanda,2019-09-05,kq3mtpj0bzm0hx3,eng,lin,lin,ba sud africains a kinshasa nanu to simbi bino te toko boma bino na tension tension kaka rien de plus
58852,260809,africa_sub,ao,caxito,2019-09-13,kq3xnyjcyhj42kr,swa,lin,lin,mais yo mukuse boye oko zala miss ndenge nini mankaka nkanu
60117,265056,africa_sub,ao,caxito,2019-09-16,kq3xnyjcyhj42kr,fra,fra,lin,marine on t invite en afrique y a tout ici
62333,272235,africa_sub,ao,caxito,2019-09-21,kq3xnyjcyhj42kr,fra,lin,lin,avis de recherche soki bo moni matanga ya ndundu bosala ngayi signe svp na pesa ata contribution pona première fois
64184,277742,africa_sub,ao,caxito,2019-09-26,kq3xnyjcyhj42kr,swa,lin,lin,ndeko muasi soki olingi okufa na tension linga kk mobali na kombo ya patrick serge junior richard jonathan g
64302,278144,africa_sub,ao,luanda,2019-09-26,kq3mtpj0bzm0hx3,swa,lin,lin,na kanisi aza koloba yo okozala mwasi naye
75260,312674,africa_sub,ao,caxito,2019-10-24,kq3xnyjcyhj42kr,swa,lin,lin,biloko ematisaka ya martin mafuta yango yo
77687,319661,africa_sub,ao,luanda,2019-10-29,kq3mtpj0bzm0hx3,swa,lin,lin,bamesanaka na mosali ya nzambe te ohhhhh aza moninga na yo te mbote não se acostuma com
78800,323086,africa_sub,ao,soyo,2019-10-31,kqbv17mnspz1g8n,fra,lin,lin,batu oyo basala bango ndenge nini c est très horrible quand même
80391,328507,africa_sub,ao,luanda,2019-11-05,kq3mtpj0bzm0hx3,swa,lin,lin,nalingi natuna kk pourquoi mutu soki alingi abunda alongolaka elamba
83132,336292,africa_sub,ao,soyo,2019-11-10,kqbv17mnspz1g8n,swa,lin,lin,mama toza biso nyonso na soucis ya mboka mais toyebi biso nyonso sans kobomba qu
83818,338237,africa_sub,ao,luanda,2019-11-12,kq3mtpj0bzm0hx3,fra,lin,lin,owuti kobimisela yango wapi epayi boye anotonov azali ko vanter résultats ya ba voyages na ye m un régime des jouisseurs
85919,344535,africa_sub,ao,caxito,2019-11-17,kq3xnyjcyhj42kr,swa,lin,lin,ba ndeko yah baza boye pona nini na bana mike
86028,344844,africa_sub,ao,caxito,2019-11-17,kq3xnyjcyhj42kr,swa,lin,lin,bongo yo owuti wapi nzoka bozalaka na bino awa bo bombanaka nazo bimisa batu ya lingala na twitter moko moko
91511,360759,africa_sub,ao,caxito,2019-11-29,kq3xnyjcyhj42kr,swa,lin,lin,basi nioso oyo baza na mibale ebele bakufa na amem
93506,366614,africa_sub,ao,luanda,2019-12-03,kq3mtpj0bzm0hx3,eng,lin,lin,kombo na yesu l or mbongo ft kabatshi amp busele clip officiel
97791,380977,africa_sub,ao,sumbe,2019-12-15,kq1b6c15k08tw7u,eng,eng,lin,all of patrick chisanga sakwiba sikota canisius banda geoffrey bwalya mwamba and a couple other veeps i cannot
98048,381809,africa_sub,ao,caxito,2019-12-16,kq3xnyjcyhj42kr,fra,fra,lin,accueilli en tipoy par ses compatriotes à kinshasa no comment
99394,386097,africa_sub,ao,soyo,2019-12-19,kqbv17mnspz1g8n,swa,lin,lin,taty mimie azoluka ya mukie pona kosalisa ba ndeko bino bozozua mbongo po na ba badauderie
106987,410136,africa_sub,ao,luau,2020-01-07,kqpg1ujgfprjgc7,fra,fra,lin,les ballerines du congo par mdc mémoire et dignité du congo via
107997,413389,africa_sub,ao,soyo,2020-01-10,kqbv17mnspz1g8n,eng,lin,lin,quelle honte tata mobimba boye ko suanisa basi sur twitter sala âge na yo
109675,418625,africa_sub,ao,soyo,2020-01-14,kqbv17mnspz1g8n,fra,lin,lin,qd je trouve mn vieux agressé nakolinga te nayeba soki aza na raison ou pas le er ré
113147,430286,africa_sub,ao,luanda,2020-01-23,kq3mtpj0bzm0hx3,swa,lin,lin,félix aye vraiment ko boma lisusu mboka ba prix kutu ya biloko ndenge ematiiii ehhhh to tika kaka
114385,434382,africa_sub,ao,soyo,2020-01-27,kqbv17mnspz1g8n,fra,lin,lin,tika biso batu ebele ya congo bakufi même pas ata mes condoléances mais basketteur oyo tala ndenge o
116584,441040,africa_sub,ao,soyo,2020-02-06,kqbv17mnspz1g8n,swa,lin,lin,salut moninga azo lakisa mbongo a zwi na motoki p makofi na ye yo ozo mona yango mabe
118714,447344,africa_sub,ao,soyo,2020-02-04,kqbv17mnspz1g8n,fra,lin,lin,merci oms po gouvernement na biso oyo pasi kk il se pourrait même k ba détourner mbongo ya centre d isolement yango
122883,459684,africa_sub,ao,caxito,2020-02-18,kq3xnyjcyhj42kr,swa,lin,lin,makambu oyo ekosila mukolo nini et pourtant tozwa déjà président ya sika pe mwana mboka ehhh nzambe vient nous libérer
123614,461716,africa_sub,ao,soyo,2020-02-19,kqbv17mnspz1g8n,fra,lin,lin,si le simple saut de mouton ezo sila te pona rétro commission kaka kabakata ya eloko boye
124940,465943,africa_sub,ao,caxito,2020-02-21,kq3xnyjcyhj42kr,swa,lin,lin,bolandi biso lisusu tiii awa na twitter botikala kaka n
127992,475013,africa_sub,ao,soyo,2020-03-02,kqbv17mnspz1g8n,fra,fra,lin,la rumba congolaise y a rien de mieux sur terre
128727,477226,africa_sub,ao,caxito,2020-02-29,kq3xnyjcyhj42kr,fra,lin,lin,la véritable lumière et chez kabila abomiye pona abomba ba secrets toyebi yango
133480,491151,africa_sub,ao,caxito,2020-03-12,kq3xnyjcyhj42kr,swa,swa,lin,oh na kanisi ozo kanisa yaya atikala awa
143895,523906,africa_sub,ao,caluquembe,2020-04-04,km6nwzv3x9erg6f,fra,eng,lin,today we celebrate years of independence bonne fête de l indépendance senegal
145538,529023,africa_sub,ao,luanda,2020-04-07,kq3mtpj0bzm0hx3,swa,lin,lin,mokonzi ya mboka aliaka niama ya matoyi mibale luka bakolo ba yanola
145539,529025,africa_sub,ao,luanda,2020-04-07,kq3mtpj0bzm0hx3,swa,lin,lin,nzela ya mulayi ba bandaka yango na mbango mingi te
147150,534714,africa_sub,ao,sumbe,2018-11-21,kq1b6c15k08tw7u,eng,eng,lin,bokani soko s grandview international to open five star hotel in lusaka
150336,544002,africa_sub,ao,soyo,2018-12-05,kqbv17mnspz1g8n,fra,fra,lin,kiekiekie nangaa et la kabilie pris dans leur propre piège bande des médiocres pona congo ya ya tshitshi bokomela
155049,559723,africa_sub,ao,luanda,2018-12-12,kq3mtpj0bzm0hx3,swa,lin,lin,komona pasi te mpaka nzambe nde mutu asimbi telecommande ya mboka kabila akomi na suka
155547,561558,africa_sub,ao,soyo,2018-12-14,kqbv17mnspz1g8n,fra,fra,lin,ya tshitshi que ton âme repôse tjrs en paix joyeux et bon anniv papa wumela na makanisi ya peuple congolais
156441,564479,africa_sub,ao,luanda,2018-12-17,kq3mtpj0bzm0hx3,fra,fra,lin,j aime une vidéo nani yango ayebi official clip sr jardine odia à l adresse
159983,575406,africa_sub,ao,luanda,2018-12-26,kq3mtpj0bzm0hx3,fra,lin,lin,j aime une vidéo nkolo apesi ngai bomoyi ya seko fr emmanuel musongo cover à l adresse
160090,575784,africa_sub,ao,quibala,2018-12-26,kq4duyn9bcxkct3,eng,eng,lin,president edgar lungu in congo brazzaville for heads of state summit
162019,581208,africa_sub,ao,caxito,2018-12-30,kq3xnyjcyhj42kr,fra,lin,lin,eteya bino pour tolobaki ete to appliquer art bino bolingi kaka élection
164851,589102,africa_sub,ao,caxito,2019-01-05,kq3xnyjcyhj42kr,fra,fra,lin,urgent cenat américain autorisé trump d intervenir au congo eyindi lukaka nzela yakokima
166522,594291,africa_sub,ao,soyo,2019-01-08,kqbv17mnspz1g8n,fra,fra,lin,adolphe dominguez dit tata mobiche ex wenge wenge maison mère orchestre actuelle wenge tonya tonya adolphe dominguez
166527,594298,africa_sub,ao,soyo,2019-01-08,kqbv17mnspz1g8n,fra,fra,lin,adolphe dominguez dit tata mobiche ex wenge wenge maison mère orchestre actuelle wenge tonya tonya adolphe dom
166848,595169,africa_sub,ao,caxito,2019-01-09,kq3xnyjcyhj42kr,fra,lin,lin,la voix du peuple c est la voix de dieu ekosimba te ya mbala oyo
167100,596004,africa_sub,ao,caxito,2019-01-10,kq3xnyjcyhj42kr,fra,lin,lin,felix tshisekedi elu president de la republique democratique du congo
167804,598190,africa_sub,ao,luanda,2019-01-11,kq3mtpj0bzm0hx3,swa,lin,lin,kabila lokola amesana ko tricher ya mbala oyo ekosimba lisusu te aquari
168517,600196,africa_sub,ao,waku kungo,2019-01-13,kmfxrvz97yesz87,eng,eng,lin,the new president in dr congo a president of all congolese
169665,603516,africa_sub,ao,soyo,2019-01-15,kqbv17mnspz1g8n,swa,lin,lin,franchement nayokaka mawa ndenge kabila asilisa ye mupepe mubake était comme un d
171281,608347,africa_sub,ao,luanda,2019-01-19,kq3mtpj0bzm0hx3,swa,lin,lin,ba avocats nyonso ya fayulu ba kimi ye batikali pona nini
172361,611541,africa_sub,ao,cabinda,2019-01-22,kr08mteubt50qjt,fra,fra,lin,bbc news afrique congo kinshasa l onu exige une enquête sur le massacre de yumbi
173015,613309,africa_sub,ao,caxito,2019-01-23,kq3xnyjcyhj42kr,swa,lin,lin,woooooooh oyo kindoki te bandeko bazo kufa na nzala yo ozo tepa tepa na mbongo ya peuple boye
173980,616137,africa_sub,ao,luanda,2019-01-25,kq3mtpj0bzm0hx3,fra,lin,lin,to monaki yango déjà pé to ndimaki yango te vs n êtes pas de ce genre vs êtes
174185,616746,africa_sub,ao,luanda,2019-01-26,kq3mtpj0bzm0hx3,fra,fra,lin,en tout cas eza nanu mosika kongolé est un a double tranchant lobi ezalaki est un
179541,632279,africa_sub,ao,soyo,2019-02-07,kqbv17mnspz1g8n,swa,lin,lin,akaaa cybelle yo bongo na ya jo olenga léopard
180414,634829,africa_sub,ao,luanda,2019-02-09,kq3mtpj0bzm0hx3,swa,lin,lin,seke tshisekedi pe abandaki kokosa na ye abomisi batu ebele kaka ya pamba mais muana na ye na mikili azo s
180576,635345,africa_sub,ao,luanda,2019-02-10,kq3mtpj0bzm0hx3,swa,lin,lin,ndeko oza ata na souci moko te ndenge bozo koka kozwa ba
186661,652685,africa_sub,ao,waku kungo,2019-02-24,kmfxrvz97yesz87,eng,eng,lin,landlord collects his rent nkana asante kotoko
188370,657786,africa_sub,ao,caxito,2019-02-28,kq3xnyjcyhj42kr,swa,lin,lin,eyindela bango penza olie biloko ya mbua preparer mbangu
189802,662205,africa_sub,ao,caxito,2019-03-04,kq3xnyjcyhj42kr,swa,lin,lin,akomesana asakanaki na kabila po azangaki base na fatshi toza naye nzoto na nzoto tiiiii akomesana a
191508,666732,africa_sub,ao,luanda,2019-03-07,kq3mtpj0bzm0hx3,swa,lin,lin,oyo ezali maladi ya ba congolais vampire
193840,673874,africa_sub,ao,caxito,2019-03-13,kq3xnyjcyhj42kr,fra,lin,lin,kasais provinces les plus affamés de la mais tala ndenge azo sakana na mbongo ya peuple
196009,681118,africa_sub,ao,sumbe,2019-03-20,kq1b6c15k08tw7u,eng,eng,lin,u possible starting line up vs u mangani banda shemmy mayembe kebson kamanga moses nyondo solo
196535,682619,africa_sub,ao,lobito,2019-03-21,kmc9u0pe67dennd,fra,fra,lin,nouvel article eugene diomi ndongala enfin libre son discours tenu au siege de la democratie chretienne ce
197859,686283,africa_sub,ao,caxito,2019-03-24,kq3xnyjcyhj42kr,swa,lin,lin,jean pierre bemba mawa trop sikoyo tomoni licopa na bino
198247,687512,africa_sub,ao,luanda,2019-03-25,kq3mtpj0bzm0hx3,fra,lin,lin,certes il manquait a ce peuple quelque chose esengo ya boye bazui yango wapi enyanyaaa tiii na kikwuit
201563,697165,africa_sub,ao,luanda,2019-04-03,kq3mtpj0bzm0hx3,fra,fra,lin,est ce que vraiment ba congolais toza mayele
203353,702590,africa_sub,ao,soyo,2019-04-07,kqbv17mnspz1g8n,swa,lin,lin,congolais na ba conseil batia yo kaka wana tomona ndenge okosala
206925,713932,africa_sub,ao,soyo,2019-04-18,kqbv17mnspz1g8n,swa,lin,lin,eeeeh yango papa oyo mbamba boye likambu nini
206949,714025,africa_sub,ao,luanda,2019-04-18,kq3mtpj0bzm0hx3,fra,fra,lin,j ai pas de upc mais j ai de la petite gamine des shaumba oyo aza mikuwa mikuwa partout
210590,725629,africa_sub,ao,luanda,2019-04-29,kq3mtpj0bzm0hx3,fra,lin,lin,vous m impressionez bcp ozalaka nde mayele boye ils etaient
214256,737269,africa_sub,ao,luanda,2019-05-11,kq3mtpj0bzm0hx3,fra,lin,lin,bino kaka boye kaka il faisait il parlait il disait olingi ba lakisa ba vid
216694,744371,africa_sub,ao,luanda,2019-05-17,kq8frxrz3u5kkw3,fra,fra,lin,global pub une solution pour tout vos communications babaskotraore à bamako mali
223733,766391,africa_sub,ao,soyo,2019-06-15,kqbv17mnspz1g8n,swa,lin,lin,cour de grand vive le couple fatshi mokonzi ya solo ya mboka congo
223953,766916,africa_sub,ao,ondjiva,2019-06-15,kkfr2mm990egm3m,fra,fra,lin,ndongo lo pape diop est meilleur singlee l histoire de la musique sénégalaise
224388,768256,africa_sub,ao,soyo,2019-06-17,kqbv17mnspz1g8n,fra,fra,lin,a qui le è président mukongo mungala muswahili et enfin muluba pari gagné vive la rdc eloko ya makasi
225988,772729,africa_sub,ao,luanda,2019-06-20,kq3mtpj0bzm0hx3,swa,lin,lin,na kasaï kuna ba ndeko na bino bao kufa na nzala yo kotoyo ozo féliciter
229259,781952,africa_sub,ao,luanda,2019-06-29,kq3mtpj0bzm0hx3,swa,lin,lin,ko kanisa te que soki mobali a tshe yo na profil nde alingaka yo po d ailleurs kutu satan ba tsha ye na bible trop m
230127,784497,africa_sub,ao,cabinda,2019-07-01,kr08mteubt50qjt,fra,fra,lin,bbc news afrique can la rdc s impose face au zimbabwe
231616,788855,africa_sub,ao,soyo,2019-07-04,kqbv17mnspz1g8n,fra,lin,lin,ils sont tous pareils bazoluka mbongo na bango na lolenge nionso cherchons l argent
246237,835129,africa_sub,ao,luanda,2019-08-13,kq3mtpj0bzm0hx3,swa,lin,lin,ozo yebisa ba american soki wana nini ozo lia yo nde example mwana mayi biso na angola pe to sepeli makasi na s
248145,841719,africa_sub,ao,soyo,2019-08-18,kqbv17mnspz1g8n,swa,lin,lin,loba na yo maman bolamu ya nzambe oko bomba pourquoi
248146,841737,africa_sub,ao,soyo,2019-08-18,kqbv17mnspz1g8n,swa,lin,lin,eza likolo ya mabanga sans ba pneus kiadi na kiadi
254468,861235,africa_sub,ao,caxito,2020-04-23,kq3xnyjcyhj4,swa,lin,lin,palzoria ayemba tala sima zonga moto ozui bolingo na nga opessi epayi ya moto ya poussou alokota abwaka eeh ngaeeeh
255603,864892,africa_sub,ao,soyo,2020-04-25,kqbv17mnspz1,fra,lin,lin,il est de quel parti vraiment la rdc nzambe tosala yo nini
261930,883119,africa_sub,ao,soyo,2020-05-07,kqbv17mnspz1,fra,lin,lin,vk pensait tromper le peuple avec leur pseudo accord etali biso te coop na bango fatshi alekeli ye mayele
262489,884756,africa_sub,ao,soyo,2020-05-09,kqbv17mnspz1,fra,fra,lin,impunité oyo e bandi na la police ti na sommet ya mboka chacun fait n importe quoi et c est t
265318,892929,africa_sub,ao,cabinda,2020-05-15,kr08mteubt50,fra,fra,lin,confiné mawa sikoyo n a tuna soit disant ye président de la république atiki congo n a
267422,898874,africa_sub,ao,cabinda,2020-05-19,kr08mteubt50,swa,lin,lin,eeeh mobiliser po tokufisa lisusu rossy ya mibale eeeh katuka kende yo moko pardon
267423,898878,africa_sub,ao,cabinda,2020-05-19,kr08mteubt50,swa,lin,lin,kiekieki ezopi yo nzoka nde okangami n a palais ya m carré ya muana lisusu kiekieki
272605,914000,africa_sub,ao,cabinda,2020-05-31,kr08mteubt50,eng,lin,lin,kiekieki en tout cas bino penza bayebi ye te kiekieki
273555,916984,africa_sub,ao,soyo,2020-06-02,kqbv17mnspz1,eng,lin,lin,tâtonner kaka papa eteni to mesani yo bongo
275555,923132,africa_sub,ao,soyo,2020-06-06,kqbv17mnspz1,fra,lin,lin,dixit saint matata de kindu l immaculé de la politique congolaise papa augustin tika biso to fanda
276573,926493,africa_sub,ao,soyo,2020-06-09,kqbv17mnspz1,swa,lin,lin,maman na nga reflechir yo moko biso tozo zela kaka ba condamner kamerhe bazongisa mbongo na biso
278911,934030,africa_sub,ao,soyo,2020-06-15,kqbv17mnspz1,fra,lin,lin,il faut croire que ba si ba maitrisa eloko makassi soki té vraim
279665,936622,africa_sub,ao,soyo,2020-06-17,kqbv17mnspz1,swa,lin,lin,eloba fally moyi ebimi ndoki azo mpumbu mokili ekamue te eeeeeee
281913,943806,africa_sub,ao,soyo,2020-06-23,kqbv17mnspz1,swa,lin,lin,bolingo ezala entre biso nionso to tika nanu likambu ya ma famille d abords
286770,958211,africa_sub,ao,luanda,2020-07-04,kq3mtpj0bzm0,swa,lin,lin,tala ndenge nakoma zoba pona bolingo ya blandine mpemba
294510,984502,africa_sub,ao,luanda,2020-07-24,kq3mtpj0bzm0,swa,lin,lin,nako zipula yo mbata moko oyo question ya nini
298138,997025,africa_sub,ao,soyo,2020-08-02,kqbv17mnspz1,fra,fra,lin,pointe côtière embouchure du fleuve congo île de bulambemba ici le fleuve congo se jette à l océan av
301976,1010632,africa_sub,ao,luanda,2020-08-11,kq3mtpj0bzm0,fra,fra,lin,cest degeuuuuu prends jms dta vie je croyais ezalaki lokola mwamba mais paaaas du tout
310820,1040672,africa_sub,ao,lubango,2020-09-02,km3e5hw2hgc9,swa,lin,lin,ata kuto toboyi ye bilaka ya nzambe ekokana to linga to linga te
315004,1054370,africa_sub,ao,soyo,2020-09-11,kqbv17mnspz1,swa,lin,lin,beta bango biloko ya pauvre père niata mbuma to leka
319526,1068849,africa_sub,ao,caxito,2020-09-21,kq3xnyjcyhj4,fra,lin,lin,avenir ya teint naye eza chez docteur le bourgeois nzambe loposo
319611,1069011,africa_sub,ao,luanda,2020-09-21,kq3mtpj0bzm0,fra,fra,lin,au congo est considéré comme muana bitinda
323110,1080346,africa_sub,ao,luanda,2020-09-28,kq3mtpj0bzm0,swa,lin,lin,avandaka wapi ba bolingo ya musika epesaka mosali makasi
323112,1080358,africa_sub,ao,luanda,2020-09-28,kq3mtpj0bzm0,swa,lin,lin,muasi na nga aza na poto akendaki samedi bolingo oyo ezo pesa nga mosala makasi mbongo na kende kotala ye na pot
323114,1080374,africa_sub,ao,luanda,2020-09-28,kq3mtpj0bzm0,swa,lin,lin,muasi na nga aza na poto akendaki samedi bolingo oyo ezo pesa nga mosala makasi mbongo na kende kotala ye na poto na
335798,1119846,africa_sub,ao,caxito,2020-10-25,kq3xnyjcyhj4,fra,lin,lin,consultation pe yango oyo a profité kk amona yo
337016,1124194,africa_sub,ao,uige,2020-10-28,kqdswmrjdqmt,swa,lin,lin,makambo e pesaka nga kanda yango yo allez bloque
341247,1137420,africa_sub,ao,luanda,2020-11-06,kq3mtpj0bzm0,eng,lin,lin,aventurier bâ oyo bayaki na politique pona bâ pauche na bango
343641,1145015,africa_sub,ao,cabinda,2020-11-11,kr08mteubt50,fra,fra,lin,alors j ai vu la sextape dont tout le monde parlait et on dirait fille wana azalaki ko tindika kiti liboso
343745,1145414,africa_sub,ao,uige,2020-11-11,kqdswmrjdqmt,swa,lin,lin,aaah sextape ya kiodo eza nzoka na tantine moko to zalaka na ye awa le monde est trop matata
343841,1145784,africa_sub,ao,cabinda,2020-11-11,kr08mteubt50,fra,lin,lin,ouais ouais ba prêtre oyo ba vandisa idéologie na mboka mukolo to bungisi vieux reddy vieux bombass na vieux qua
344759,1148660,africa_sub,ao,uige,2020-11-13,kqdswmrjdqmt,swa,lin,lin,boza trop concentre na makambo ya libala hein e bongo ba oyo ba lingi na bango kutu ko bala te bo somba ba ndaku
344768,1148741,africa_sub,ao,uige,2020-11-13,kqdswmrjdqmt,swa,lin,lin,boza trop concentre na makambo ya libala hein e bongo ba oyo ba lingi na bango kutu ko bala te bo somba ba ndaku bo
345510,1151146,africa_sub,ao,luanda,2020-11-15,kq3mtpj0bzm0,fra,lin,lin,yo nde oza vraizoba tu résonne par derrière yo soki
345787,1151969,africa_sub,ao,uige,2020-11-15,kqdswmrjdqmt,fra,lin,lin,je pense aza westaf bango ba zalaka makasi n a ba escroquerie en ligne faire des faux sites et tout
346145,1153182,africa_sub,ao,caxito,2020-11-16,kq3xnyjcyhj4,fra,fra,lin,siège d afriland first bank à la gombé kinshasa rdc accusés par deux ong d avoir mis a
347066,1156046,africa_sub,ao,uige,2020-11-18,kqdswmrjdqmt,fra,lin,lin,çava avec vous aujourd hui boza kanda kanda boye lelo eza nango kaka internet hein apaiser vos coeurs
347323,1156874,africa_sub,ao,uige,2020-11-18,kqdswmrjdqmt,eng,eng,lin,girl said i look like a frog tala ba mindele solo oyo
347326,1156877,africa_sub,ao,uige,2020-11-18,kqdswmrjdqmt,eng,eng,lin,hahahahja nah it s okay if you like whites tho but glory a lekisaka trop na ba oyo ya elongi mabe a lingaka
347525,1157524,africa_sub,ao,sumbe,2020-11-19,kq1b6c15k08t,eng,eng,lin,lyric video dutu mupengo cyclone is off holstar s latest album kupeleka nyali ya moto and features zimbabwe s soko mat
349880,1164629,africa_sub,ao,uige,2020-11-24,kqdswmrjdqmt,swa,lin,lin,ko kamua penza yaya nzambe a sunga biso nionso
350356,1165813,africa_sub,ao,uige,2020-11-24,kqdswmrjdqmt,swa,lin,lin,projet na nga ya ko zua zemi jour ya concert ya koffi on dirait eza kaka nzambe a tikaka bana na ye te
